t_manu,mfr_count,t_model,t_cap,t_rd,t_hh,model_count
GE Wind,33896,GE1.5-70.5,1500,70.5,"65.0, 80.0",296
GE Wind,33896,GE1.5-77,1500,77.0,"65.0, 80.0",5924
GE Wind,33896,GE1.5-82.5,1500,82.5,"65.0, 80.0",1489
GE Wind,33896,GE1.5-87,1500,87.0,80.0,650
GE Wind,33896,GE1.5-91,1500,91.0,80.0,676
GE Wind,33896,GE1.5-91.5,1500,91.5,80.0,165
GE Wind,33896,GE1.6-82.5,1600,82.5,"80.0, 100.0",997
GE Wind,33896,GE1.6-87,1600,87.0,80.0,157
GE Wind,33896,GE1.6-91,1600,91.0,80.0,1200
GE Wind,33896,GE1.6-97,1600,97.0,80.0,402
GE Wind,33896,GE1.6-100,1600,100.0,"80.0, 96.0, 100.0",765
GE Wind,33896,GE1.62-87,1620,87.0,80.0,234
GE Wind,33896,GE1.62-91,1620,91.0,80.0,320
GE Wind,33896,GE1.62-91.5,1620,91.5,80.0,258
GE Wind,33896,GE1.62-100,1620,100.0,"80.0, 100.0",385
GE Wind,33896,GE1.68-82.5,1680,82.5,80.0,262
GE Wind,33896,GE1.7-100,1700,100.0,"80.0, 85.0, 96.0",1345
GE Wind,33896,GE1.7-103,1700,103.0,80.0,269
GE Wind,33896,GE1.715-103,1715,103.0,80.0,624
GE Wind,33896,GE1.79-100,1790,100.0,"80.0, 85.0, 96.0",1432
GE Wind,33896,GE1.85-87,1850,87.0,80.0,1056
GE Wind,33896,GE1.85-91,1850,91.0,80.0,368
GE Wind,33896,GE2.0-116,2000,116.0,"80.0, 94.0",279
GE Wind,33896,GE2.0-116,2075,116.0,80.0,119
GE Wind,33896,GE2.0-116,2100,116.0,80.0,110
GE Wind,33896,GE2.1-116,2100,116.0,"80.0, 90.0, 94.0",135
GE Wind,33896,GE2.3-107,2300,107.0,80.0,107
GE Wind,33896,GE2.3-116,2300,116.0,"80.0, 89.0, 90.0, 94.0, 100.0, 110.0",1921
GE Wind,33896,GE2.4-107,2400,107.0,80.0,275
GE Wind,33896,GE2.5-116,2500,116.0,"79.0, 80.0, 85.0, 89.0, 90.0",1209
GE Wind,33896,GE2.5-127,2500,127.0,"89.0, 90.0, 100.0",696
GE Wind,33896,GE2.52-116,2520,116.0,"80.0, 89.0, 90.0, 114.0",153
GE Wind,33896,GE2.5-127,2520,127.0,"89.0, 90.0",911
GE Wind,33896,GE2.72-116,2720,116.0,"80.0, 90.0",575
GE Wind,33896,GE2.75-127,2750,127.0,"85.0, 89.0",363
GE Wind,33896,GE2.8-127,2800,127.0,"89.0, 90.0, 114.0",1283
GE Wind,33896,GE2.82-127,2820,127.0,"89.0, 90.0, 114.0",5046
GE Wind,33896,GE3.4-140,3400,140.0,"98.0, 112.0, 117.0",338
Vestas,17111,V47-0.66,660,47.0,"37.0, 50.0, 60.0, 65.0, 66.0",976
Vestas,17111,V82-1.65,1650,82.0,"70.0, 80.0",1922
Vestas,17111,V80-1.8,1800,80.0,"60.0, 67.0, 78.0, 80.0",524
Vestas,17111,V90-1.8,1800,90.0,80.0,470
Vestas,17111,V100-1.8,1800,100.0,"80.0, 95.0",452
Vestas,17111,V100-1.82,1815,100.0,80.0,112
Vestas,17111,V100-2.0,2000,100.0,"67.0, 80.0, 91.5, 95.0",1753
Vestas,17111,V110-2.0,2000,110.0,"67.0, 80.0, 95.0, 97.0, 100.0, 120.0",3871
Vestas,17111,V116-2.0,2000,116.0,94.0,328
Vestas,17111,V120-2.0,2000,120.0,80.0,157
Vestas,17111,V110-2.2,2200,110.0,"80.0, 85.0, 95.0, 100.0",370
Vestas,17111,V110-2.0,2200,110.0,95.0,201
Vestas,17111,V120-2.2,2200,120.0,"80.0, 87.0, 92.0, 95.0, 122.0",1821
Vestas,17111,V90-3.0,3000,90.0,"80.0, 105.0",689
Vestas,17111,V112-3.075,3075,112.0,"84.0, 94.0",118
Vestas,17111,V112-3.3,3300,112.0,"84.0, 94.0",129
Vestas,17111,V117-3.3,3300,117.0,"80.0, 91.5",235
Vestas,17111,V126-3.45,3450,126.0,87.0,301
Vestas,17111,V136-3.6,3600,136.0,"82.0, 99.0, 105.0, 112.0",583
Vestas,17111,V150-4.2,4200,150.0,"95.0, 105.0, 119.0, 120.0",458
